survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,18.101200100000003,17.8134995,17.724300399999997,17.724599800000004,18.113100051879883,17.856199264526367,17.755199432373047,17.75480079650879,54.52519418,-27.09520149
PS1SN,18.7019005,18.0492001,17.810100600000002,17.7164001,18.724000930786133,18.103599548339844,17.842100143432617,17.736499786376953,54.51883363,-27.14527788
PS1SN,18.4468002,17.9001007,17.7007008,17.6242008,18.46190071105957,17.95549964904785,17.73539924621582,17.65730094909668,54.53626856,-27.21752643
PS1SN,18.788200399999997,17.9974995,17.705299399999998,17.5872993,18.803800582885742,18.04210090637207,17.736299514770508,17.618600845336914,54.57165487,-27.15327762
PS1SN,18.1723003,17.830600699999998,17.7199001,17.6977005,18.182199478149414,17.872900009155273,17.754600524902344,17.723499298095703,54.4357286,-27.0767904
PS1SN,18.769199399999998,17.667499499999998,17.1828003,16.961500199999996,18.797700881958008,17.707000732421875,17.20989990234375,16.99679946899414,54.53897149,-27.074104
PS1SN,18.8262005,18.4318008,18.2901001,18.2551003,18.87350082397461,18.46969985961914,18.291000366210938,18.29640007019043,54.49864953,-26.97747454
PS1SN,17.6924992,17.1210003,16.906700100000002,16.823999399999998,17.714000701904297,17.17289924621582,16.93269920349121,16.859399795532227,54.53848147,-27.00839148
PS1SN,18.8138008,17.6397991,17.0209999,16.7345009,18.869800567626953,17.694799423217773,17.039600372314453,16.76099967956543,54.60555733,-27.36144292
PS1SN,18.3729992,17.4561005,17.107200600000002,16.9585991,18.411699295043945,17.496000289916992,17.132699966430664,16.990400314331055,54.58672336,-27.31337483
PS1SN,18.6664009,17.8834,17.5636005,17.4237995,18.67799949645996,17.919200897216797,17.570999145507812,17.440099716186523,54.70182582,-27.23713768
PS1SN,18.7416,18.0743999,17.8274002,17.7212009,18.793500900268555,18.11009979248047,17.8439998626709,17.750099182128906,54.67840929,-27.23654985
PS1SN,18.958900500000002,18.2388992,17.9596996,17.850599300000003,18.96940040588379,18.272899627685547,17.975500106811523,17.848499298095703,54.72662878,-27.234878
PS1SN,18.0389004,17.3722992,17.137199399999997,17.0398998,18.025699615478516,17.39109992980957,17.145700454711914,17.05430030822754,54.76208562,-27.25562061
PS1SN,18.8568001,17.6917,17.1303005,16.8617992,18.85650062561035,17.735200881958008,17.15760040283203,16.876399993896484,54.74681118,-27.40552327
PS1SN,18.871799499999998,17.8600998,17.4431992,17.2602005,18.896900177001953,17.878700256347656,17.463300704956055,17.27589988708496,54.82026013,-27.33329241
