survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SNLS,17.4526,16.9101,16.7319,16.6542,17.4875,16.9258,16.736,16.6783,36.0654,-4.70916,0.0854286,0.0603015,0.0441564,0.0344881,0.0867514,0.0614096,0.0453994,0.0358544
SNLS,18.4392,17.7875,17.5314,17.4032,18.4458,17.8027,17.542,17.4384,36.3147,-4.70963,0.0836013,0.0590117,0.0432119,0.0337504,0.0848958,0.0600961,0.0444283,0.0350875
SNLS,18.2762,17.9061,17.7804,17.7376,18.2712,17.9051,17.7847,17.7611,36.9831,-4.70918,0.0908235,0.0641096,0.0469449,0.0366661,0.0922298,0.0652877,0.0482664,0.0381186
SNLS,17.7851,17.0767,16.7945,16.6588,17.8014,17.0931,16.8062,16.6882,36.3365,-4.70598,0.0830656,0.0586335,0.042935,0.0335342,0.0843518,0.059711,0.0441436,0.0348626
SNLS,18.652,17.8987,17.6073,17.4687,18.6471,17.9239,17.637,17.4928,36.4028,-4.70442,0.081214,0.0573265,0.0419779,0.0327867,0.0824715,0.05838,0.0431596,0.0340855
SNLS,17.0236,16.6088,16.4762,16.4338,17.0261,16.6234,16.4835,16.4496,36.6869,-4.69891,0.0781316,0.0551507,0.0403847,0.0315423,0.0793413,0.0561642,0.0415215,0.0327918
SNLS,18.5545,18.2446,18.1396,18.1158,18.5539,18.2534,18.1531,18.1426,36.7187,-4.69966,0.0785789,0.0554665,0.0406159,0.0317228,0.0797956,0.0564857,0.0417592,0.0329796
SNLS,18.5018,17.9128,17.6873,17.5779,18.5074,17.9331,17.7049,17.6031,36.2879,-4.69847,0.0821427,0.057982,0.0424579,0.0331616,0.0834146,0.0590475,0.0436531,0.0344753
SNLS,18.7251,18.314,18.1484,18.0942,18.7384,18.3152,18.1574,18.1219,36.7851,-4.69882,0.0826584,0.0583461,0.0427245,0.0333698,0.0839383,0.0594183,0.0439272,0.0346918
SNLS,17.0447,16.8131,16.7492,16.7378,17.0474,16.8171,16.7391,16.7517,36.0984,-4.6852,0.0799269,0.056418,0.0413126,0.032267,0.0811644,0.0574547,0.0424756,0.0335453
SNLS,17.3006,16.6306,16.383,16.2702,17.3175,16.6387,16.4002,16.309,36.8011,-4.68082,0.0816619,0.0576427,0.0422094,0.0329675,0.0829264,0.0587019,0.0433976,0.0342735
SNLS,17.33,16.9451,16.8389,16.8056,17.3398,16.9478,16.8377,16.8352,36.9558,-4.67811,0.0874859,0.0617537,0.0452197,0.0353187,0.0888406,0.0628885,0.0464927,0.0367179
SNLS,18.1549,17.5798,17.364,17.2673,18.1601,17.5978,17.3654,17.2706,36.3699,-4.67589,0.0810298,0.0571965,0.0418827,0.0327123,0.0822845,0.0582476,0.0430617,0.0340082
SNLS,17.7095,17.1198,16.8816,16.7723,17.7235,17.1392,16.8941,16.7882,36.3521,-4.67064,0.0803204,0.0566957,0.041516,0.0324259,0.0815641,0.0577376,0.0426847,0.0337105
SNLS,18.3204,17.8675,17.7141,17.6562,18.3512,17.877,17.7217,17.6933,36.3261,-4.66504,0.0793943,0.056042,0.0410373,0.032052,0.0806236,0.0570719,0.0421925,0.0333218
SNLS,17.7501,17.2676,17.0733,16.9937,17.7604,17.2749,17.0975,17.0211,36.8311,-4.65948,0.0817068,0.0576744,0.0422327,0.0329856,0.082972,0.0587342,0.0434215,0.0342924
SNLS,17.928,17.4372,17.2636,17.1941,17.9299,17.4479,17.2674,17.2157,36.6517,-4.65776,0.0811659,0.0572926,0.0419531,0.0327672,0.0824227,0.0583454,0.043134,0.0340653
SNLS,18.5298,18.1767,18.0526,17.994,18.5365,18.1897,18.0576,18.0135,36.0043,-4.65555,0.0896308,0.0632677,0.0463284,0.0361846,0.0910187,0.0644303,0.0476325,0.0376181
SNLS,17.5801,17.166,17.0338,16.9907,17.5856,17.1806,17.0342,17.0022,36.3728,-4.65004,0.0795825,0.0561749,0.0411346,0.032128,0.0808147,0.0572072,0.0422926,0.0334008
SNLS,17.5801,17.166,17.0338,16.9907,17.568,17.1751,17.0346,16.9983,36.3728,-4.65004,0.0795826,0.0561749,0.0411347,0.032128,0.0808148,0.0572072,0.0422926,0.0334008
SNLS,18.8061,18.5455,18.4607,18.4427,18.7833,18.5534,18.4429,18.4676,36.1331,-4.65199,0.0743013,0.052447,0.0384049,0.0299959,0.0754517,0.0534108,0.039486,0.0311842
SNLS,16.8203,16.4713,16.3597,16.3241,16.8107,16.4721,16.3578,16.3343,36.0298,-4.639,0.085375,0.0602636,0.0441286,0.0344665,0.0866969,0.0613711,0.0453709,0.0358319
SNLS,18.1735,17.6386,17.4349,17.3482,18.1799,17.6557,17.4362,17.3611,36.4562,-4.63709,0.0817581,0.0577106,0.0422592,0.0330063,0.083024,0.0587711,0.0434488,0.0343139
SNLS,18.2844,17.7887,17.6048,17.5227,18.2945,17.8234,17.6051,17.5517,36.9937,-4.63207,0.0892012,0.0629644,0.0461063,0.0360111,0.0905823,0.0641215,0.0474042,0.0374377
SNLS,18.7267,18.1734,17.962,17.8732,18.7393,18.184,17.9799,17.9084,36.853,-4.62448,0.0810591,0.0572172,0.0418979,0.0327241,0.0823142,0.0582686,0.0430773,0.0340205
SNLS,18.8308,18.4989,18.3803,18.3428,18.8353,18.5149,18.3739,18.3984,36.4569,-4.6223,0.0816919,0.0576639,0.042225,0.0329796,0.0829569,0.0587235,0.0434136,0.0342861
SNLS,18.7436,18.2945,18.1074,18.0256,18.7284,18.2964,18.1247,18.0494,36.6461,-4.61851,0.082871,0.0584962,0.0428344,0.0334556,0.0841542,0.0595711,0.0440402,0.034781
SNLS,17.951,17.3533,17.131,17.0281,17.9515,17.3845,17.142,17.0612,36.1398,-4.6121,0.073534,0.0519054,0.0380083,0.0296862,0.0746726,0.0528592,0.0390782,0.0308622
SNLS,18.808,18.087,17.8011,17.6623,18.8345,18.0993,17.8095,17.6993,36.1169,-4.60427,0.0750673,0.0529877,0.0388008,0.0303052,0.0762296,0.0539615,0.039893,0.0315057
SNLS,17.0038,16.5154,16.3081,16.205,17.0046,16.515,16.3099,16.2301,36.9669,-4.59618,0.0846054,0.0597204,0.0437308,0.0341558,0.0859154,0.0608178,0.0449619,0.0355089
SNLS,18.0293,17.4811,17.2459,17.1414,18.0625,17.491,17.254,17.1725,36.7792,-4.59278,0.0801985,0.0566097,0.041453,0.0323767,0.0814402,0.05765,0.0426199,0.0336593
SNLS,17.3211,16.7558,16.5559,16.4734,17.3271,16.7725,16.5765,16.4958,36.1882,-4.58926,0.0732393,0.0516974,0.0378559,0.0295672,0.0743733,0.0526474,0.0389216,0.0307385
SNLS,17.3572,16.9747,16.8172,16.7501,17.3523,16.9799,16.8267,16.7557,36.0936,-4.58813,0.0759593,0.0536174,0.0392619,0.0306653,0.0771355,0.0546027,0.0403671,0.0318801
SNLS,18.5111,18.169,18.0564,18.0184,18.5077,18.186,18.0663,18.0493,36.8875,-4.59015,0.0825118,0.0582426,0.0426487,0.0333106,0.0837894,0.0593129,0.0438493,0.0346302
SNLS,17.9168,17.3821,17.1722,17.081,17.9297,17.4072,17.181,17.1015,36.1655,-4.58301,0.0740057,0.0522384,0.0382521,0.0298766,0.0751516,0.0531984,0.0393289,0.0310602
SNLS,18.7493,18.1264,17.8759,17.7576,18.782,18.15,17.8948,17.7814,36.6182,-4.57039,0.0844129,0.0595845,0.0436314,0.0340781,0.0857199,0.0606795,0.0448596,0.0354281
SNLS,17.9366,17.4733,17.3147,17.2534,17.9242,17.4831,17.3191,17.2759,36.5159,-4.56838,0.0828875,0.0585077,0.0428429,0.0334622,0.0841709,0.0595829,0.0440489,0.0347879
SNLS,17.295,16.8522,16.6916,16.6474,17.3021,16.8642,16.7104,16.6847,36.7104,-4.56695,0.0825143,0.0582444,0.04265,0.0333116,0.083792,0.0593147,0.0438506,0.0346313
SNLS,17.5613,17.1039,16.9612,16.9054,17.5741,17.1173,16.9503,16.9162,36.0338,-4.54765,0.0795752,0.0561697,0.0411308,0.032125,0.0808073,0.0572019,0.0422887,0.0333977
SNLS,18.2545,17.8261,17.6556,17.5917,18.2578,17.8369,17.6672,17.6155,36.2875,-4.54672,0.0721272,0.0509124,0.0372811,0.0291182,0.073244,0.051848,0.0383306,0.0302718
SNLS,17.1114,16.6911,16.5448,16.4979,17.1237,16.6993,16.5614,16.5202,36.6954,-4.53905,0.0842398,0.0594623,0.0435419,0.0340082,0.0855442,0.060555,0.0447676,0.0353555
SNLS,18.3192,17.9102,17.7467,17.6923,18.3198,17.9292,17.7574,17.7091,36.7436,-4.54032,0.084056,0.0593326,0.0434469,0.033934,0.0853575,0.0604229,0.0446699,0.0352783
SNLS,18.5639,17.9383,17.7243,17.6183,18.5648,17.9539,17.7243,17.6408,36.0072,-4.5366,0.0823964,0.0581611,0.0425891,0.033264,0.0836722,0.0592299,0.043788,0.0345818
SNLS,17.7837,17.0803,16.8196,16.703,17.8092,17.0942,16.8397,16.7329,36.7705,-4.52913,0.0851218,0.0600849,0.0439978,0.0343643,0.0864398,0.061189,0.0452363,0.0357256
SNLS,18.9674,18.2536,17.993,17.8724,18.9652,18.2568,18.01,17.8836,36.402,-4.525,0.0764811,0.0539857,0.0395316,0.0308759,0.0776653,0.0549777,0.0406444,0.0320991
SNLS,17.5576,17.2084,17.0994,17.0792,17.5656,17.2198,17.1025,17.0923,36.7116,-4.51847,0.0854255,0.0602993,0.0441547,0.0344869,0.0867482,0.0614074,0.0453977,0.0358531
SNLS,18.4108,18.0533,17.9336,17.899,18.3954,18.0534,17.9471,17.9069,36.3309,-4.51814,0.073508,0.0518871,0.0379948,0.0296757,0.0746462,0.0528406,0.0390644,0.0308513
SNLS,18.1297,17.7524,17.6119,17.5543,18.1321,17.7632,17.6028,17.5825,36.045,-4.51198,0.0798074,0.0563337,0.0412509,0.0322188,0.0810432,0.0573689,0.0424121,0.0334952
SNLS,17.7253,17.4116,17.3136,17.2942,17.7475,17.4092,17.3186,17.2974,36.2903,-4.50544,0.0737208,0.0520373,0.0381048,0.0297616,0.0748623,0.0529935,0.0391775,0.0309406
SNLS,18.4331,18.0648,17.931,17.879,18.4351,18.0395,17.9333,17.8979,36.9602,-4.50741,0.0797364,0.0562835,0.0412142,0.0321901,0.0809711,0.0573178,0.0423744,0.0334654
SNLS,17.6338,17.3477,17.2514,17.2246,17.6276,17.3413,17.2424,17.236,36.0318,-4.50342,0.0812214,0.0573317,0.0419817,0.0327896,0.082479,0.0583853,0.0431635,0.0340886
SNLS,18.557,17.9279,17.6691,17.5495,18.5777,17.9527,17.6809,17.5606,36.0388,-4.49227,0.0805441,0.0568536,0.0416316,0.0325162,0.0817912,0.0578984,0.0428036,0.0338044
SNLS,18.5927,18.0619,17.8404,17.7429,18.6064,18.0776,17.8636,17.7758,36.7744,-4.48816,0.0867284,0.061219,0.0448282,0.0350129,0.0880713,0.0623439,0.0460901,0.0363999
SNLS,18.2897,17.9543,17.8268,17.7916,18.2819,17.9315,17.8218,17.7887,36.3579,-4.48711,0.0739352,0.0521886,0.0382156,0.0298481,0.07508,0.0531476,0.0392914,0.0310306
SNLS,17.5167,17.1209,16.9963,16.9571,17.5002,17.1403,17.0014,16.9537,36.4704,-4.47047,0.0796556,0.0562265,0.0411724,0.0321575,0.080889,0.0572597,0.0423314,0.0334314
SNLS,18.4469,18.1265,18.0397,18.0273,18.4336,18.1137,18.0235,18.046,36.4898,-4.4726,0.0809511,0.057141,0.041842,0.0326805,0.0822046,0.058191,0.0430199,0.0339752
SNLS,18.1653,17.7559,17.6171,17.5636,18.1675,17.7701,17.6238,17.6109,36.8483,-4.46288,0.0821696,0.0580011,0.0424719,0.0331724,0.0834419,0.0590669,0.0436674,0.0344866
SNLS,18.4653,17.7652,17.4927,17.3868,18.4997,17.781,17.5146,17.4113,36.6404,-4.46111,0.0868387,0.0612968,0.0448852,0.0350574,0.0881833,0.0624232,0.0461487,0.0364462
SNLS,17.9681,17.6753,17.5674,17.5347,17.9746,17.6645,17.5713,17.57,36.8815,-4.44602,0.080333,0.0567047,0.0415226,0.032431,0.0815769,0.0577467,0.0426914,0.0337158
SNLS,18.297,18.0579,17.9749,17.9809,18.3048,18.0508,17.9867,17.9686,36.6342,-4.4421,0.0860084,0.0607107,0.0444561,0.0347222,0.0873402,0.0618264,0.0457075,0.0360977
SNLS,18.1455,17.5479,17.3292,17.2392,18.1609,17.5761,17.3427,17.2525,36.5513,-4.43414,0.0814479,0.0574916,0.0420988,0.0328811,0.082709,0.0585481,0.0432839,0.0341837
SNLS,18.6755,18.3456,18.2185,18.1826,18.6673,18.3403,18.2207,18.1517,36.3841,-4.42325,0.0761691,0.0537655,0.0393703,0.03075,0.0773485,0.0547535,0.0404786,0.0319682
