survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,16.7661,16.2715,15.8977,15.5724,16.4321,16.1118,16.0111,15.995,24.5903,41.6018,0.214112,0.164244,0.124462,0.0908877,0.191444,0.135519,0.100188,0.0791238
CFA3S,16.4431,15.6075,15.0307,14.5524,15.9316,15.2836,15.0266,14.9242,24.5044,41.6458,0.220729,0.16932,0.128309,0.0936964,0.19736,0.139707,0.103284,0.081569
CFA3S,17.2061,16.7585,16.4157,16.0844,16.9165,16.6197,16.5302,16.5187,24.4855,41.6477,0.219891,0.168677,0.127822,0.0933408,0.196611,0.139177,0.102892,0.0812593
CFA3S,18.8371,18.2705,17.7857,17.3994,18.4848,18.0447,17.8833,17.8291,24.4757,41.7484,0.215475,0.16529,0.125254,0.091466,0.192662,0.136382,0.100825,0.0796273
CFA3S,17.9551,17.2125,16.7377,16.4084,17.4882,16.9637,16.793,16.7265,24.4578,41.5898,0.228358,0.175172,0.132744,0.0969349,0.204181,0.144536,0.106854,0.0843883
CFA3S,18.0631,17.5285,17.1467,16.7774,17.7139,17.3732,17.2584,17.2264,24.4562,41.7367,0.215014,0.164936,0.124987,0.0912707,0.19225,0.13609,0.10061,0.0794572
CFA3S,17.6051,16.9795,16.5417,16.1704,17.2215,16.7904,16.6188,16.5704,24.4545,41.6871,0.214923,0.164866,0.124934,0.091232,0.192169,0.136033,0.100567,0.0794235
CFA3S,17.5157,17.0613,16.6864,16.3695,17.1954,16.9129,16.8145,16.7954,21.414,33.9633,0.184091,0.141216,0.107012,0.0781443,0.164601,0.116518,0.0861403,0.0680298
CFA3S,17.1407,16.6083,16.2134,15.8465,16.7998,16.4466,16.3119,16.2669,21.3898,33.9762,0.188226,0.144387,0.109415,0.0798994,0.168298,0.119135,0.0880751,0.0695578
CFA3S,18.1437,17.4513,16.9664,16.5105,17.7399,17.2171,17.0291,16.9513,21.3893,34.116,0.186523,0.143081,0.108425,0.0791767,0.166776,0.118057,0.0872783,0.0689285
CFA3S,15.7737,15.1313,14.6924,14.2965,15.3532,14.9105,14.7525,14.7108,21.3867,34.0094,0.186337,0.142938,0.108317,0.0790977,0.166609,0.11794,0.0871913,0.0688598
CFA3S,15.9667,15.3843,14.9774,14.5955,15.6003,15.2039,15.0556,15.0315,21.3852,34.0184,0.186028,0.142701,0.108137,0.0789665,0.166333,0.117744,0.0870466,0.0687455
CFA3S,18.4637,17.7563,17.2144,16.7575,18.0215,17.472,17.2279,17.1701,21.3544,34.056,0.187133,0.143549,0.10878,0.0794355,0.167321,0.118443,0.0875637,0.0691539
CFA3S,16.0927,15.6033,15.2384,14.9025,15.7883,15.4744,15.3575,15.3438,21.3392,34.1123,0.187079,0.143507,0.108748,0.0794125,0.167272,0.118409,0.0875383,0.0691338
CFA3S,16.0417,15.3603,14.8764,14.4465,15.6104,15.1454,14.926,14.8762,21.3308,34.0894,0.187393,0.143748,0.108931,0.0795459,0.167554,0.118608,0.0876853,0.06925
CFA3S,16.1477,15.3483,14.7714,14.3015,15.7503,14.9705,15.003,14.7037,21.3178,34.1086,0.186827,0.143314,0.108602,0.0793055,0.167047,0.118249,0.0874203,0.0690407
CFA3S,17.4547,16.5583,15.9294,15.4545,16.9208,16.1916,15.9171,15.8135,21.2752,34.0939,0.186632,0.143165,0.108488,0.0792228,0.166873,0.118126,0.0873292,0.0689687
CFA3S,17.6397,17.0813,16.6564,16.2795,17.2194,16.8467,16.7071,16.6485,21.2614,33.9623,0.19097,0.146492,0.11101,0.0810641,0.170751,0.120872,0.0893589,0.0705717
CFA3S,17.5632,17.0637,16.6946,16.3462,17.2346,16.9213,16.8081,16.7933,74.3387,-4.8078,0.143159,0.109817,0.0832177,0.0607691,0.128002,0.0906105,0.0669872,0.0529035
CFA3S,18.1102,17.5507,16.8226,16.0402,18.58,18.1615,18.0115,18.0019,74.3375,-4.80338,0.14362,0.11017,0.0834859,0.0609649,0.128415,0.0909024,0.0672031,0.053074
CFA3S,16.728,16.1957,15.8097,15.4709,16.3914,16.061,15.9218,15.903,74.3313,-4.82998,0.142183,0.109068,0.0826506,0.0603549,0.12713,0.089993,0.0665307,0.052543
CFA3S,17.9042,17.2522,16.822,16.428,17.4941,17.0547,16.9084,16.8631,74.3283,-4.84059,0.14191,0.108858,0.0824915,0.0602388,0.126885,0.0898198,0.0664026,0.0524418
CFA3S,16.3105,15.5495,14.997,14.5363,15.8373,15.272,15.0088,14.9194,74.3225,-4.74635,0.154006,0.118138,0.0895233,0.0653737,0.137702,0.0974762,0.072063,0.0569121
CFA3S,16.5952,15.7199,15.1054,14.6297,16.0717,15.3793,15.1066,15.0051,74.3039,-4.70459,0.157532,0.120842,0.0915725,0.0668701,0.140854,0.0997074,0.0737125,0.0582148
CFA3S,17.2636,16.3639,15.752,15.2831,16.7121,16.0099,15.7477,15.6492,74.2691,-4.6812,0.155969,0.119643,0.0906641,0.0662067,0.139456,0.0987183,0.0729812,0.0576373
CFA3S,16.2079,15.4889,14.9984,14.5837,15.7488,15.2366,15.0364,14.9734,74.2675,-4.77995,0.161145,0.123614,0.0936729,0.0684039,0.144084,0.101994,0.0754033,0.0595501
CFA3S,17.1348,16.3455,15.7823,15.3177,16.6363,16.0313,15.7843,15.6863,74.2645,-4.72118,0.163191,0.125183,0.0948621,0.0692723,0.145913,0.103289,0.0763605,0.0603061
CFA3S,18.1669,17.3812,16.8577,16.412,17.6609,17.1099,16.8827,16.7943,74.2534,-4.77817,0.163819,0.125664,0.095227,0.0695387,0.146475,0.103687,0.0766542,0.0605381
CFA3S,15.8732,15.2382,14.803,14.4527,15.4349,15.0222,14.8745,14.847,74.2463,-4.74464,0.164301,0.126034,0.0955073,0.0697434,0.146906,0.103992,0.0768798,0.0607163
CFA3S,16.0405,15.5562,15.1963,14.9174,15.6621,15.3431,15.2363,15.2178,74.2327,-4.74693,0.163537,0.125448,0.0950633,0.0694192,0.146223,0.103508,0.0765224,0.060434
CFA3S,17.0937,16.5898,16.2023,15.8731,16.7596,16.427,16.2947,16.2801,74.2319,-4.84122,0.15191,0.11653,0.0883048,0.0644839,0.135827,0.0961495,0.0710821,0.0561375
CFA3S,15.9006,15.2829,14.8554,14.5044,15.4952,15.075,14.9336,14.9138,74.2292,-4.83581,0.152568,0.117034,0.0886872,0.0647631,0.136415,0.0965659,0.07139,0.0563806
