survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,17.7225,17.0561,16.8751,16.7846,17.6798,17.1173,16.8893,16.8165,41.5711,-1.95235,0.136263,0.0906789,0.0663882,0.0505712,0.134838,0.0954495,0.0705647,0.0557288
D3YR,17.8714,17.0601,16.8052,16.6686,17.8202,17.1159,16.8168,16.6982,41.5679,-1.85657,0.149621,0.0995682,0.0728963,0.0555288,0.148057,0.104806,0.0774822,0.0611919
D3YR,18.9448,18.66,18.5933,18.5843,18.9353,18.6722,18.6014,18.6266,41.4158,-1.86868,0.130062,0.0865525,0.0633673,0.04827,0.128703,0.0911061,0.0673536,0.0531929
D3YR,16.8502,16.5191,16.4394,16.4204,16.8285,16.5443,16.4358,16.4345,41.9485,-1.17891,0.128959,0.0858182,0.0628296,0.0478605,0.127611,0.0903331,0.0667822,0.0527416
D3YR,17.0368,16.5771,16.4564,16.4183,17.0089,16.6144,16.4625,16.4396,41.9917,-1.24292,0.133811,0.0890471,0.0651936,0.0496612,0.132412,0.093732,0.0692949,0.054726
D3YR,18.4969,17.6801,17.4067,17.2522,18.4346,17.7457,17.4443,17.3023,43.1819,-0.105439,0.1755,0.11679,0.0855048,0.0651333,0.173665,0.122934,0.0908839,0.071776
D3YR,17.7891,17.1762,16.9916,16.8971,17.7333,17.2272,17.0059,16.931,43.1853,-0.0228346,0.189623,0.126188,0.0923856,0.0703747,0.187641,0.132827,0.0981975,0.077552
D3YR,17.963,17.4365,17.2662,17.1864,17.9152,17.4913,17.2886,17.2108,43.1929,-0.0549806,0.182018,0.121128,0.0886805,0.0675524,0.180115,0.1275,0.0942593,0.0744418
D3YR,18.2144,17.3928,17.1238,16.9741,18.1373,17.4624,17.1606,17.022,43.2095,-0.108517,0.180939,0.120409,0.0881546,0.0671518,0.179047,0.126744,0.0937003,0.0740003
D3YR,17.6606,17.1969,17.0664,17.021,17.6267,17.2431,17.0835,17.0367,41.8554,-0.793275,0.129209,0.0859847,0.0629515,0.0479534,0.127858,0.0905084,0.0669118,0.0528439
D3YR,18.9654,18.3184,18.0892,17.9711,18.9166,18.3651,18.1262,18.0378,42.0742,-1.44338,0.136514,0.0908458,0.0665104,0.0506643,0.135087,0.0956252,0.0706945,0.0558314
D3YR,18.9955,18.6697,18.5933,18.5807,18.9686,18.7031,18.5856,18.5848,42.075,-1.42817,0.136315,0.0907136,0.0664137,0.0505906,0.13489,0.0954861,0.0705917,0.0557502
D3YR,17.4492,16.9844,16.8573,16.8091,17.4993,17.0327,16.8621,16.8352,40.959,0.0478455,0.0905379,0.0602502,0.0441107,0.0336013,0.0895914,0.06342,0.0468857,0.0370282
D3YR,17.8685,17.3959,17.2712,17.2187,17.832,17.4331,17.2755,17.2216,40.9967,0.139933,0.0993813,0.0661352,0.0484192,0.0368834,0.0983424,0.0696146,0.0514653,0.040645
D3YR,17.343,16.9836,16.907,16.8934,17.3066,17.0124,16.9194,16.9051,40.9548,0.0510611,0.0908115,0.0604323,0.044244,0.0337029,0.0898622,0.0636117,0.0470273,0.0371401
D3YR,17.6301,16.8572,16.6192,16.4941,17.5737,16.9134,16.6361,16.5479,41.9796,0.142995,0.144086,0.0958852,0.0701999,0.0534748,0.14258,0.10093,0.0746161,0.0589285
D3YR,17.8651,17.2831,17.1332,17.066,17.8292,17.3276,17.1437,17.1039,41.5207,-1.15029,0.102434,0.0681665,0.0499064,0.0380162,0.101363,0.0717528,0.053046,0.0418933
D3YR,18.0497,17.5026,17.3243,17.2415,18.0089,17.547,17.3455,17.2749,41.9375,-0.588077,0.11064,0.0736278,0.0539048,0.041062,0.109484,0.0775014,0.0572958,0.0452497
D3YR,17.7097,17.2445,17.1106,17.0608,17.6839,17.2821,17.1258,17.0714,42.0462,-0.534495,0.115238,0.0766876,0.0561449,0.0427684,0.114034,0.0807221,0.0596769,0.0471301
