survey,CFA4P2-B,CFA4P2-V,CFA4P2-r,CFA4P2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P2-B_AV,CFA4P2-V_AV,CFA4P2-r_AV,CFA4P2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,17.4949,16.8093,16.527,16.2943,17.1001,16.5411,16.3302,16.2652,129.094,28.1409,0.140563,0.107832,0.088541,0.0651393,0.128003,0.0906108,0.0669874,0.0529037
CFA4,17.2185,16.6648,16.4472,16.2859,16.901,16.4724,16.3023,16.2681,129.086,28.1464,0.140442,0.107739,0.0884651,0.0650834,0.127893,0.0905331,0.06693,0.0528583
CFA4,18.2418,17.8008,17.6088,17.4455,17.9475,17.6181,17.4773,17.4544,129.069,28.1196,0.140206,0.107558,0.0883164,0.064974,0.127678,0.0903809,0.0668175,0.0527694
CFA4,16.2701,15.671,15.4883,15.329,15.8856,15.459,15.3017,15.2754,129.045,28.0344,0.138584,0.106314,0.0872945,0.0642223,0.126201,0.0893351,0.0660444,0.0521589
CFA4,17.5906,16.8011,16.4941,16.2379,17.0987,16.4603,16.2089,16.1268,129.032,28.0065,0.136553,0.104755,0.0860149,0.0632808,0.124351,0.0880256,0.0650763,0.0513943
CFA4,16.1497,15.513,15.3015,15.1065,15.7612,15.3062,15.1271,15.0806,129.018,28.105,0.1397,0.10717,0.0879976,0.0647395,0.127217,0.0900547,0.0665763,0.052579
CFA4,18.0611,17.5633,17.4257,17.3257,17.6728,17.3986,17.2774,17.2569,129.011,28.0573,0.137799,0.105711,0.0867998,0.0638583,0.125486,0.0888289,0.0656701,0.0518633
CFA4,16.3052,15.554,15.2913,15.0452,15.8419,15.2635,15.0239,14.9443,129.001,28.0153,0.133845,0.102678,0.0843094,0.0620261,0.121885,0.0862802,0.0637859,0.0503753
CFA4,16.8289,16.2699,16.0964,15.929,16.515,16.1031,15.9524,15.9116,128.996,28.15,0.139769,0.107223,0.088041,0.0647714,0.12728,0.0900991,0.0666091,0.0526049
CFA4,16.8414,16.016,15.6916,15.4232,16.3224,15.6569,15.3929,15.2972,128.995,27.9862,0.131251,0.100688,0.0826754,0.060824,0.119523,0.0846081,0.0625497,0.049399
CFA4,17.899,17.4003,17.2484,17.0829,17.5931,17.2505,17.106,17.0782,32.3931,-23.3973,0.0563028,0.0431923,0.0354653,0.0260917,0.0512718,0.0362943,0.026832,0.0211907
CFA4,17.7659,17.2751,17.1119,16.9536,17.4813,17.1197,16.983,16.9565,32.3459,-23.3669,0.0551824,0.0423328,0.0347596,0.0255725,0.0502516,0.0355721,0.026298,0.020769
CFA4,16.1633,15.6497,15.506,15.363,15.8116,15.4642,15.3432,15.3281,32.2994,-23.4918,0.0613326,0.0470509,0.0386336,0.0284226,0.0558523,0.0395367,0.029229,0.0230838
CFA4,16.8618,16.2094,15.9897,15.8213,16.4806,15.9902,15.8167,15.7688,32.2847,-23.4762,0.0613478,0.0470626,0.0386432,0.0284297,0.0558661,0.0395465,0.0292363,0.0230895
CFA4,16.2585,15.7554,15.6138,15.48,15.9067,15.5625,15.4468,15.4283,32.245,-23.4853,0.0669414,0.0513537,0.0421666,0.0310218,0.0609599,0.0431523,0.031902,0.0251948
CFA4,17.1383,16.4562,16.215,16.0108,16.7113,16.2131,16.0462,15.9772,30.4664,15.3354,0.176472,0.135379,0.11116,0.08178,0.160703,0.113758,0.0841003,0.0664186
CFA4,16.9246,16.101,15.7571,15.4549,16.4661,15.7935,15.5163,15.403,30.439,15.3828,0.1741,0.13356,0.109666,0.0806811,0.158544,0.11223,0.0829702,0.0655261
CFA4,16.1753,15.687,15.5608,15.4249,15.8487,15.5262,15.4052,15.3758,30.4098,15.2462,0.20043,0.153758,0.126251,0.0928826,0.18252,0.129203,0.0955179,0.0754358
CFA4,17.0668,16.1855,15.8273,15.5333,16.5412,15.8262,15.5476,15.5912,30.4061,15.3232,0.185783,0.142522,0.117025,0.0860951,0.169182,0.119761,0.0885378,0.0699232
CFA4,17.9836,17.2788,17.0386,16.8027,17.5194,17.0024,16.7818,16.6993,30.3588,15.2884,0.196426,0.150687,0.12373,0.0910274,0.178875,0.126622,0.09361,0.073929
CFA4,16.8564,16.3184,16.1582,15.9948,16.499,16.1372,16.0075,15.9724,30.3496,15.3565,0.187606,0.143921,0.118174,0.0869401,0.170843,0.120936,0.0894067,0.0706094
CFA4,17.988,17.3374,17.0838,16.8387,17.6056,17.091,16.8657,16.7778,30.3452,15.4133,0.184213,0.141318,0.116036,0.0853674,0.167752,0.118749,0.0877895,0.0693322
CFA4,17.7274,16.8855,16.5693,16.2855,17.2061,16.5532,16.3062,16.2166,5.78278,6.91001,0.0797467,0.0611771,0.0502327,0.036956,0.0726209,0.0514069,0.0380045,0.0300143
CFA4,15.6785,15.1501,14.9838,14.8306,15.3481,14.9802,14.8481,14.8202,5.76806,6.96672,0.083453,0.0640204,0.0525673,0.0386736,0.0759961,0.0537961,0.0397708,0.0314092
CFA4,18.0076,17.1586,16.8117,16.4849,17.5357,16.805,16.5048,16.3558,5.75528,6.93402,0.0837149,0.0642214,0.0527323,0.038795,0.0762346,0.053965,0.0398956,0.0315078
CFA4,16.7916,16.154,15.9477,15.7721,16.4065,15.945,15.7915,15.759,5.74601,7.02472,0.0890776,0.0683353,0.0561103,0.0412801,0.0811181,0.0574219,0.0424513,0.0335262
CFA4,18.1264,17.4452,17.1752,16.9568,17.702,17.1822,16.983,16.9011,5.74423,7.05126,0.090247,0.0692324,0.0568469,0.041822,0.082183,0.0581757,0.0430086,0.0339663
CFA4,17.3217,16.6178,16.357,16.1007,16.9164,16.3502,16.1257,16.0391,5.74094,7.01753,0.0894289,0.0686048,0.0563316,0.0414429,0.081438,0.0576484,0.0426187,0.0336584
CFA4,16.3557,15.6265,15.3606,15.1288,15.9208,15.3617,15.1531,15.0855,5.72999,7.00704,0.0900655,0.0690932,0.0567326,0.041738,0.0820178,0.0580588,0.0429221,0.033898
CFA4,15.3444,14.9417,14.8329,14.7175,15.0787,14.8155,14.7277,14.7191,5.72703,6.95698,0.0884802,0.067877,0.055734,0.0410033,0.0805741,0.0570368,0.0421666,0.0333013
CFA4,15.7468,15.1528,14.9814,14.8201,15.3915,14.9704,14.8473,14.8256,5.70231,7.03266,0.0926131,0.0710475,0.0583373,0.0429185,0.0843377,0.059701,0.0441362,0.0348568
CFA4,18.2006,17.4617,17.1599,16.9109,17.7337,17.1733,16.9364,16.8548,5.69652,6.98727,0.0913077,0.0700461,0.057515,0.0423136,0.0831489,0.0588595,0.0435141,0.0343655
CFA4,17.9562,17.0365,16.6834,16.4007,17.412,16.6743,16.405,16.323,161.74,26.5637,0.111275,0.0853641,0.0700927,0.0515669,0.101332,0.0717312,0.05303,0.0418807
CFA4,16.2674,15.6027,15.38,15.1932,15.841,15.3691,15.1936,15.1346,161.739,26.5349,0.109959,0.0843542,0.0692634,0.0509568,0.100133,0.0708825,0.0524026,0.0413852
CFA4,16.3884,15.5806,15.2911,15.043,15.9019,15.2842,15.0626,14.9791,161.723,26.5715,0.112823,0.0865516,0.0710677,0.0522842,0.102742,0.072729,0.0537677,0.0424633
CFA4,17.0025,16.4234,16.2448,16.0784,16.5985,16.2162,16.0636,16.003,161.7,26.5227,0.111,0.0851529,0.0699193,0.0514393,0.101082,0.0715537,0.0528988,0.0417771
CFA4,16.7209,15.9759,15.7018,15.4701,16.2594,15.6929,15.4742,15.3972,348.853,18.9349,0.443625,0.340324,0.279441,0.205584,0.403985,0.285973,0.211416,0.166967
CFA4,16.626,15.8819,15.6119,15.3515,16.2009,15.6173,15.3916,15.2997,348.764,19.0846,0.519667,0.398659,0.32734,0.240823,0.473232,0.334992,0.247655,0.195587
CFA4,16.3434,15.5356,15.2379,14.9857,15.8512,15.2197,14.9816,14.8801,348.76,18.9939,0.49276,0.378018,0.310391,0.228354,0.44873,0.317647,0.234833,0.18546
CFA4,16.7587,16.1814,16.0007,15.7985,16.4131,15.9937,15.8347,15.7755,220.667,-17.2216,0.344091,0.263967,0.216744,0.159458,0.313344,0.22181,0.163982,0.129505
CFA4,17.3981,16.8321,16.6781,16.5014,17.1993,16.7835,16.6072,16.5382,220.642,-17.2348,0.345018,0.264678,0.217328,0.159887,0.314189,0.222408,0.164424,0.129854
CFA4,16.7984,16.0324,15.7655,15.5051,16.3589,15.7564,15.5223,15.4225,220.628,-17.2826,0.346776,0.266027,0.218435,0.160702,0.31579,0.223542,0.165262,0.130516
CFA4,16.5424,15.8943,15.6839,15.4878,16.1504,15.6755,15.517,15.4676,38.2438,0.55225,0.0850812,0.0652695,0.0535929,0.0394281,0.0774788,0.0548457,0.0405468,0.032022
CFA4,15.5059,14.9722,14.8152,14.6855,15.168,14.8148,14.6966,14.6865,38.2344,0.529997,0.0848545,0.0650956,0.0534501,0.0393231,0.0772723,0.0546996,0.0404387,0.0319367
CFA4,16.744,16.2619,16.1058,15.9537,16.4596,16.1182,15.9966,15.9715,38.2203,0.66086,0.0948196,0.0727403,0.0597272,0.0439411,0.086347,0.0611234,0.0451878,0.0356873
CFA4,17.4012,16.7689,16.5379,16.345,17.0033,16.5407,16.3614,16.3126,38.1839,0.623914,0.0994535,0.0762951,0.0626461,0.0460885,0.0905669,0.0641105,0.0473961,0.0374313
CFA4,16.4627,15.674,15.3979,15.1508,15.9775,15.3793,15.1377,15.0455,38.1339,0.592973,0.0943391,0.0723717,0.0594245,0.0437184,0.0859095,0.0608137,0.0449588,0.0355064
CFA4,16.9436,16.4667,16.3415,16.2087,16.612,16.299,16.173,16.1667,38.1012,0.586603,0.0900363,0.0690708,0.0567142,0.0417244,0.0819911,0.0580399,0.0429082,0.033887
CFA4,16.8303,16.0294,15.7358,15.5041,16.3317,15.7291,15.5069,15.4303,256.008,31.4181,0.109417,0.0839385,0.0689221,0.0507057,0.0996401,0.0705333,0.0521444,0.0411813
CFA4,17.0483,16.4422,16.2399,16.0715,16.6326,16.2229,16.055,16.0143,256.008,31.4132,0.109615,0.0840903,0.0690467,0.0507974,0.0998202,0.0706607,0.0522386,0.0412557
CFA4,16.5439,15.757,15.4809,15.2543,16.0585,15.4867,15.2666,15.2032,256.006,31.5638,0.0989721,0.0759258,0.0623428,0.0458654,0.0901284,0.0638002,0.0471667,0.0372501
CFA4,16.8407,16.2634,16.094,15.9398,16.4469,16.0668,15.9269,15.9098,256.004,31.5453,0.101885,0.0781605,0.0641777,0.0472153,0.0927812,0.065678,0.0485549,0.0383465
CFA4,16.3315,15.7437,15.5548,15.4048,15.9786,15.5759,15.4308,15.4109,256.003,31.5843,0.0956838,0.0734032,0.0602715,0.0443415,0.087134,0.0616804,0.0455996,0.0360125
CFA4,17.4485,16.9961,16.8565,16.738,17.1149,16.8366,16.7207,16.7101,255.992,31.5133,0.104017,0.0797961,0.0655207,0.0482034,0.0947227,0.0670523,0.049571,0.0391489
CFA4,17.7503,16.9416,16.6316,16.3795,17.2184,16.6055,16.3645,16.2882,255.978,31.4485,0.108895,0.0835383,0.0685935,0.050464,0.099165,0.070197,0.0518957,0.0409849
CFA4,16.8182,16.1771,15.9862,15.8105,16.3876,15.9559,15.7981,15.7665,255.97,31.4306,0.110116,0.0844747,0.0693623,0.0510296,0.100277,0.0709838,0.0524774,0.0414443
CFA4,16.8911,16.1732,15.9237,15.695,16.4659,15.9372,15.7196,15.6506,255.963,31.5646,0.0961458,0.0737577,0.0605626,0.0445557,0.0875548,0.0619783,0.0458198,0.0361864
CFA4,17.1281,16.6215,16.4768,16.3358,16.7653,16.4385,16.3078,16.2881,255.954,31.4323,0.110412,0.0847018,0.0695488,0.0511668,0.100546,0.0711746,0.0526185,0.0415558
CFA4,15.961,15.3941,15.2371,15.0859,15.5659,15.1915,15.0566,15.0361,255.949,31.427,0.110807,0.0850048,0.0697976,0.0513498,0.100906,0.0714292,0.0528067,0.0417044
CFA4,17.5365,16.7461,16.4515,16.229,17.2494,16.7032,16.4919,16.4211,255.948,31.4888,0.105373,0.0808359,0.0663745,0.0488315,0.0959571,0.0679261,0.050217,0.0396591
CFA4,16.3163,15.6508,15.4506,15.2944,15.8504,15.4146,15.2599,15.2374,255.938,31.4573,0.108638,0.0833407,0.0684312,0.0503446,0.0989304,0.0700309,0.051773,0.040888
CFA4,16.255,15.3677,15.0002,14.7114,15.7141,14.9805,14.6965,14.5956,255.937,31.4764,0.106358,0.0815916,0.0669951,0.049288,0.0968541,0.0685611,0.0506864,0.0400299
CFA4,16.4471,15.8558,15.6741,15.5128,16.0139,15.6266,15.4906,15.4388,255.929,31.4676,0.107284,0.0823022,0.0675785,0.0497172,0.0976976,0.0691582,0.0511278,0.0403785
CFA4,16.1517,15.3971,15.1467,14.9507,15.6821,15.15,14.9661,14.9155,255.926,31.5391,0.098467,0.0755383,0.0620247,0.0456313,0.0896685,0.0634746,0.046926,0.0370601
CFA4,17.2289,16.6358,16.4562,16.3205,16.8666,16.4792,16.3426,16.3177,255.923,31.5741,0.0933761,0.0716329,0.0588179,0.0432721,0.0850325,0.0601928,0.0444998,0.035144
CFA4,16.4925,15.9475,15.7997,15.6731,16.0831,15.7441,15.6202,15.6066,255.906,31.4208,0.111392,0.0854534,0.070166,0.0516209,0.101438,0.0718062,0.0530855,0.0419245
CFA4,16.2674,15.6875,15.513,15.3475,15.8559,15.4701,15.3099,15.2726,255.896,31.4639,0.107548,0.0825047,0.0677448,0.0498396,0.097938,0.0693284,0.0512536,0.0404778
CFA4,17.8528,17.2335,17.0262,16.8362,17.4598,17.0325,16.8578,16.7969,255.884,31.5738,0.0978346,0.0750532,0.0616263,0.0453383,0.0890926,0.0630669,0.0466246,0.036822
CFA4,16.1155,15.3845,15.1063,14.8961,15.702,15.1065,14.8825,14.7948,194.937,27.9493,0.0304721,0.0233765,0.0191945,0.0141213,0.0277492,0.0196431,0.0145219,0.0114688
CFA4,17.271,16.7294,16.5395,16.3762,16.8899,16.5066,16.3352,16.2945,194.922,28.0022,0.026978,0.020696,0.0169935,0.0125021,0.0245674,0.0173908,0.0128568,0.0101537
CFA4,17.229,16.6709,16.5097,16.3811,16.8733,16.4804,16.3315,16.2987,194.861,28.0066,0.0299061,0.0229423,0.0188379,0.013859,0.0272338,0.0192783,0.0142522,0.0112558
CFA4,18.0556,17.5953,17.4464,17.3127,17.6619,17.3719,17.274,17.2539,194.855,27.9854,0.0322894,0.0247706,0.0203392,0.0149635,0.0294042,0.0208147,0.015388,0.0121528
CFA4,16.7729,15.9431,15.6485,15.4578,16.2637,15.6194,15.3963,15.3275,194.853,27.94,0.0370031,0.0283867,0.0233084,0.0171479,0.0336967,0.0238532,0.0176344,0.0139269
CFA4,16.578,16.1212,16.0052,15.9144,16.2154,15.9494,15.8468,15.8383,194.816,27.9529,0.0391292,0.0300177,0.0246476,0.0181331,0.0356328,0.0252237,0.0186476,0.014727
CFA4,17.3841,16.9282,16.8009,16.6732,17.0722,16.7745,16.6688,16.6654,194.807,28.0362,0.0325902,0.0250014,0.0205287,0.0151029,0.0296782,0.0210086,0.0155314,0.012266
CFA4,16.195,15.5103,15.2701,15.1028,15.7739,15.2537,15.0659,15.0057,194.799,28.001,0.034748,0.0266567,0.0218879,0.0161029,0.0316431,0.0223996,0.0165597,0.0130781
