survey,ATLAS-c0,ATLAS-o0,ATLAS-c1,ATLAS-o1,ATLAS-c2,ATLAS-o2,ATLAS-c3,ATLAS-o3,ATLAS-c4,ATLAS-o4,ATLAS-c5,ATLAS-o5,ATLAS-c6,ATLAS-o6,ATLAS-c7,ATLAS-o7,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ATLAS-c0_AV,ATLAS-o0_AV,ATLAS-c1_AV,ATLAS-o1_AV,ATLAS-c2_AV,ATLAS-o2_AV,ATLAS-c3_AV,ATLAS-o3_AV,ATLAS-c4_AV,ATLAS-o4_AV,ATLAS-c5_AV,ATLAS-o5_AV,ATLAS-c6_AV,ATLAS-o6_AV,ATLAS-c7_AV,ATLAS-o7_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ATLAS,-999,17.5696,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1986,17.6635,17.451,17.3791,31.0052,0.269247,0.0681627,0.048279,0.0681627,0.048279,0.0681627,0.048279,0.0681627,0.048279,0.0681627,0.048279,0.0681627,0.048279,0.0681627,0.048279,0.0681627,0.048279,0.0792828,0.0561227,0.0414908,0.0327676
ATLAS,-999,17.7115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1443,17.7776,17.6265,17.6195,31.6876,0.74789,0.0748312,0.0530022,0.0748312,0.0530022,0.0748312,0.0530022,0.0748312,0.0530022,0.0748312,0.0530022,0.0748312,0.0530022,0.0748312,0.0530022,0.0748312,0.0530022,0.0870391,0.0616133,0.0455499,0.0359733
ATLAS,-999,17.524,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.2319,17.6333,17.3798,17.2792,31.8164,0.823245,0.0664092,0.0470371,0.0664092,0.0470371,0.0664092,0.0470371,0.0664092,0.0470371,0.0664092,0.0470371,0.0664092,0.0470371,0.0664092,0.0470371,0.0664092,0.0470371,0.0772432,0.054679,0.0404235,0.0319247
ATLAS,-999,17.3647,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.6634,17.4081,17.3018,17.3107,31.7939,0.808578,0.0664255,0.0470485,0.0664255,0.0470485,0.0664255,0.0470485,0.0664255,0.0470485,0.0664255,0.0470485,0.0664255,0.0470485,0.0664255,0.0470485,0.0664255,0.0470485,0.0772621,0.0546923,0.0404334,0.0319325
ATLAS,-999,17.4626,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.109,17.5462,17.335,17.2387,31.139,0.729913,0.0673888,0.0477308,0.0673888,0.0477308,0.0673888,0.0477308,0.0673888,0.0477308,0.0673888,0.0477308,0.0673888,0.0477308,0.0673888,0.0477308,0.0673888,0.0477308,0.0783825,0.0554855,0.0410197,0.0323955
ATLAS,-999,17.4155,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1143,17.5203,17.2852,17.1901,31.0611,0.730451,0.0688127,0.0487394,0.0688127,0.0487394,0.0688127,0.0487394,0.0688127,0.0487394,0.0688127,0.0487394,0.0688127,0.0487394,0.0688127,0.0487394,0.0688127,0.0487394,0.0800388,0.0566579,0.0418865,0.0330801
ATLAS,-999,17.0481,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.325,17.0715,16.997,16.9943,31.2883,0.726452,0.0641626,0.0454458,0.0641626,0.0454458,0.0641626,0.0454458,0.0641626,0.0454458,0.0641626,0.0454458,0.0641626,0.0454458,0.0641626,0.0454458,0.0641626,0.0454458,0.07463,0.0528291,0.0390559,0.0308446
ATLAS,-999,17.9226,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.495,17.9902,17.7894,17.7313,31.6586,0.920502,0.0708549,0.0501858,0.0708549,0.0501858,0.0708549,0.0501858,0.0708549,0.0501858,0.0708549,0.0501858,0.0708549,0.0501858,0.0708549,0.0501858,0.0708549,0.0501858,0.0824141,0.0583393,0.0431295,0.0340618
ATLAS,-999,17.2533,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.6628,17.3051,17.1813,17.1613,31.0734,0.593005,0.0674217,0.0477542,0.0674217,0.0477542,0.0674217,0.0477542,0.0674217,0.0477542,0.0674217,0.0477542,0.0674217,0.0477542,0.0674217,0.0477542,0.0674217,0.0477542,0.0784208,0.0555126,0.0410398,0.0324114
ATLAS,-999,17.9161,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.234,18.0158,17.8534,17.9152,31.1904,0.667442,0.0646652,0.0458018,0.0646652,0.0458018,0.0646652,0.0458018,0.0646652,0.0458018,0.0646652,0.0458018,0.0646652,0.0458018,0.0646652,0.0458018,0.0646652,0.0458018,0.0752146,0.053243,0.0393619,0.0310863
