survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
DES,18.9115,18.3428,18.1395,18.0533,18.8441,18.3423,18.1108,18.0219,42.4154,0.902297,0.184932,0.123066,0.0901,0.0686337,0.182998,0.129541,0.0957681,0.0756333
DES,17.4565,17.0109,16.8932,16.8489,17.4215,17.0359,16.8979,16.8718,41.8305,0.418394,0.120343,0.0800849,0.0586321,0.044663,0.119085,0.0842982,0.0623206,0.049218
DES,16.9573,16.4252,16.268,16.1932,16.9242,16.46,16.284,16.2145,42.6541,0.48271,0.195215,0.12991,0.0951103,0.0724503,0.193175,0.136745,0.101094,0.0798392
DES,18.9474,18.437,18.2635,18.1712,18.9181,18.4663,18.278,18.2118,42.1844,0.463418,0.164639,0.109562,0.080213,0.0611023,0.162917,0.115326,0.0852592,0.0673339
DES,16.335,15.818,15.6486,15.5726,16.3058,15.856,15.6642,15.5984,42.8845,0.612367,0.228874,0.152308,0.111509,0.0849418,0.226481,0.160321,0.118524,0.0936047
DES,16.4421,15.6223,15.357,15.1983,16.401,15.6915,15.3906,15.2586,42.1931,0.0627693,0.148442,0.098784,0.0723222,0.0550914,0.146891,0.103981,0.0768719,0.06071
DES,18.4313,17.9904,17.8507,17.7886,18.4025,17.9966,17.8483,17.7998,42.5516,0.85814,0.169617,0.112875,0.0826385,0.0629499,0.167844,0.118813,0.0878372,0.0693699
DES,17.7422,16.9972,16.7602,16.6273,17.7043,17.0564,16.7835,16.6836,42.3447,0.436979,0.16904,0.112491,0.0823575,0.0627359,0.167273,0.118409,0.0875386,0.069134
DES,15.9111,15.3491,15.1949,15.1124,15.8772,15.3847,15.2028,15.1447,42.1791,0.399882,0.161196,0.107271,0.0785357,0.0598246,0.159511,0.112914,0.0834763,0.0659259
DES,17.0311,16.4862,16.3286,16.2497,17.0027,16.5272,16.3431,16.2709,42.7924,0.569058,0.212931,0.141699,0.103742,0.0790251,0.210705,0.149154,0.110268,0.0870846
