survey,CSP-g,CSP-r,CSP-i,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-g_AV,CSP-r_AV,CSP-i_AV,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CSP,16.5248,15.7503,15.4805,16.9549,16.0778,16.0778,16.0778,16.0778,16.4165,15.746,15.4853,15.3859,359.578,-18.75,0.0671479,0.0463288,0.0338132,0.0731446,0.0576686,0.0568988,0.0568988,0.0568988,0.0658304,0.0466001,0.0344509,0.0272078
CSP,16.6851,16.3191,16.1833,16.9788,16.4687,16.4687,16.4687,16.4687,16.6009,16.3004,16.1913,16.1874,359.579,-18.7173,0.0694632,0.0479262,0.0349791,0.0756667,0.059657,0.0588606,0.0588606,0.0588606,0.0681003,0.0482068,0.0356387,0.0281459
CSP,17.4723,16.7295,16.4426,17.9493,17.0313,17.0313,17.0313,17.0313,17.3278,16.7122,16.4476,16.3374,359.698,-18.713,0.0663027,0.0457456,0.0333876,0.072224,0.0569427,0.0561826,0.0561826,0.0561826,0.0650018,0.0460135,0.0340172,0.0268653
CSP,17.2621,16.8202,16.6783,17.5663,17.0039,17.0039,17.0039,17.0039,17.1791,16.829,16.7078,16.6905,359.601,-18.7589,0.0660741,0.0455879,0.0332725,0.071975,0.0567464,0.0559889,0.0559889,0.0559889,0.0647777,0.0458549,0.0339,0.0267727
CSP,17.9778,17.4899,17.3084,18.2953,17.7227,17.7227,17.7227,17.7227,17.8848,17.4885,17.3095,17.2741,359.667,-18.6457,0.0696231,0.0480365,0.0350596,0.0758408,0.0597943,0.0589962,0.0589962,0.0589962,0.068257,0.0483178,0.0357208,0.0282107
CSP,15.8079,15.386,15.2573,16.1205,15.5606,15.5606,15.5606,15.5606,15.7342,15.3793,15.2565,15.2403,19.2457,0.768964,0.100918,0.0696287,0.0508188,0.109931,0.0866716,0.0855147,0.0855147,0.0855147,0.0989383,0.0700365,0.0517771,0.0408913
CSP,17.0546,16.5078,16.3274,17.4184,16.7555,16.7555,16.7555,16.7555,16.953,16.5015,16.3296,16.2741,19.1249,0.848583,0.0922904,0.0636758,0.046474,0.100532,0.0792616,0.0782036,0.0782036,0.0782036,0.0904796,0.0640487,0.0473504,0.0373953
CSP,17.8781,17.224,16.9735,18.2774,17.4967,17.4967,17.4967,17.4967,17.747,17.1941,16.9873,16.9162,19.2337,0.80294,0.098826,0.068185,0.0497651,0.107652,0.0848746,0.0837416,0.0837416,0.0837416,0.0968869,0.0685844,0.0507036,0.0400434
CSP,18.5473,18.1672,17.9614,18.8453,18.3154,18.3154,18.3154,18.3154,18.4556,18.1169,17.997,17.9757,19.1738,0.863177,0.0932008,0.064304,0.0469325,0.101524,0.0800435,0.0789751,0.0789751,0.0789751,0.0913721,0.0646805,0.0478175,0.0377642
CSP,17.6835,17.1426,16.9145,17.9617,17.3668,17.3668,17.3668,17.3668,17.5828,17.1466,16.9569,16.8991,338.552,5.53079,0.413766,0.285478,0.208357,0.450718,0.355354,0.350611,0.350611,0.350611,0.405648,0.28715,0.212287,0.167654
CSP,17.7336,17.1154,16.9004,18.1804,17.3973,17.3973,17.3973,17.3973,17.6255,17.1025,16.9069,16.8233,338.527,5.62921,0.419753,0.289609,0.211372,0.457239,0.360496,0.355684,0.355684,0.355684,0.411517,0.291305,0.215358,0.17008
CSP,17.8226,17.3476,17.1195,18.1941,17.557,17.557,17.557,17.557,17.755,17.3121,17.1323,17.0704,338.571,5.51807,0.410212,0.283026,0.206568,0.446846,0.352302,0.347599,0.347599,0.347599,0.402163,0.284684,0.210463,0.166214
CSP,18.3625,17.7472,17.6063,18.0798,18.0546,18.0546,18.0546,18.0546,18.192,17.7071,17.5106,17.4255,338.483,5.5312,0.428253,0.295473,0.215653,0.466499,0.367796,0.362887,0.362887,0.362887,0.41985,0.297204,0.219719,0.173524
CSP,18.8817,18.182,17.8666,19.1819,18.4585,18.4585,18.4585,18.4585,18.7013,18.1749,17.94,17.846,338.594,5.56554,0.407515,0.281165,0.205209,0.443908,0.349985,0.345313,0.345313,0.345313,0.399519,0.282812,0.209079,0.165121
CSP,15.6948,15.277,15.1483,16.0087,15.4506,15.4506,15.4506,15.4506,15.6271,15.2613,15.1383,15.1256,53.8122,-25.0057,0.0590014,0.0407081,0.0297109,0.0642706,0.0506721,0.0499957,0.0499957,0.0499957,0.0578438,0.0409465,0.0302712,0.0239069
CSP,16.2205,15.5361,15.3384,16.6238,15.8638,15.8638,15.8638,15.8638,16.0967,15.5485,15.3476,15.2711,53.7642,-24.9573,0.0747119,0.0515475,0.0376222,0.0813841,0.0641647,0.0633082,0.0633082,0.0633082,0.073246,0.0518494,0.0383316,0.0302726
CSP,16.2526,15.7805,15.6243,16.6106,15.9932,15.9932,15.9932,15.9932,16.1788,15.7556,15.6159,15.6072,53.6958,-24.9664,0.0765256,0.0527989,0.0385355,0.0833598,0.0657224,0.0648451,0.0648451,0.0648451,0.0750241,0.0531081,0.0392622,0.0310075
CSP,17.169,16.5913,16.3834,17.5342,16.8559,16.8559,16.8559,16.8559,17.0782,16.5629,16.3809,16.3297,53.7971,-24.9797,0.0643972,0.0444309,0.032428,0.0701482,0.0553061,0.0545679,0.0545679,0.0545679,0.0631336,0.0446911,0.0330396,0.0260932
CSP,17.7383,16.9992,16.6697,18.1973,17.3133,17.3133,17.3133,17.3133,17.6323,16.9861,16.697,16.5641,160.159,9.14287,0.0931976,0.0643018,0.0469309,0.101521,0.0800408,0.0789724,0.0789724,0.0789724,0.091369,0.0646783,0.0478159,0.0377629
CSP,18.7283,17.691,17.5643,18.937,18.1046,18.1046,18.1046,18.1046,18.5967,17.8932,17.6154,17.5017,344.987,0.0142173,0.174221,0.120204,0.0877312,0.18978,0.149626,0.147629,0.147629,0.147629,0.170802,0.120908,0.0893856,0.0705927
