survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SDSS,18.4914,17.6212,17.2758,17.0454,18.3781,17.6158,17.2879,17.1251,308.559,-0.575959,0.553236,0.380169,0.281608,0.210433,0.53355,0.37769,0.279221,0.220517
SDSS,16.2107,15.6568,15.4271,15.3216,16.1244,15.6422,15.4368,15.3581,308.561,-0.538943,0.53743,0.369308,0.273563,0.204421,0.518307,0.366899,0.271244,0.214216
SDSS,16.2185,15.8083,15.6704,15.6122,16.1672,15.7886,15.6631,15.63,308.561,0.653866,0.320276,0.220085,0.163027,0.121822,0.308879,0.21865,0.161645,0.12766
SDSS,18.7119,18.0151,17.7824,17.6279,18.64,18.0062,17.7696,17.6745,308.561,-0.0561408,0.398087,0.273555,0.202635,0.151419,0.383922,0.271771,0.200917,0.158675
SDSS,17.6369,17.0182,16.7806,16.6529,17.5748,17.0125,16.7857,16.7011,308.563,0.38434,0.373767,0.256843,0.190255,0.142169,0.360467,0.255168,0.188642,0.148981
SDSS,17.5433,17.0066,16.8166,16.741,17.485,17.0033,16.8297,16.7736,308.565,0.372075,0.372521,0.255987,0.189621,0.141695,0.359266,0.254317,0.188014,0.148485
SDSS,16.8933,16.1764,15.9149,15.763,16.7806,16.1571,15.9031,15.7948,308.566,-0.956793,0.564363,0.387816,0.287273,0.214665,0.544282,0.385287,0.284838,0.224952
SDSS,18.0672,17.2955,17.0398,16.898,17.9729,17.2796,17.0402,16.9583,308.568,1.16912,0.286662,0.196986,0.145917,0.109037,0.276462,0.195702,0.14468,0.114262
SDSS,18.4355,17.9197,17.724,17.6509,18.382,17.9123,17.7392,17.6604,308.569,1.13613,0.285252,0.196018,0.145199,0.1085,0.275102,0.194739,0.143968,0.1137
SDSS,18.3598,17.5799,17.2552,17.0748,18.2931,17.565,17.2817,17.1723,308.569,-0.538065,0.530035,0.364226,0.269799,0.201608,0.511175,0.361851,0.267512,0.211269
SDSS,17.9106,17.3511,17.1431,17.0389,17.8424,17.3457,17.1565,17.0836,308.569,0.342362,0.369485,0.2539,0.188075,0.14054,0.356338,0.252245,0.186481,0.147275
SDSS,17.6813,17.1592,16.9839,16.8997,17.6142,17.1542,16.9876,16.9296,308.572,0.687927,0.306067,0.210321,0.155794,0.116418,0.295176,0.208949,0.154474,0.121996
SDSS,18.3725,17.933,17.7365,17.651,18.2998,17.9315,17.7623,17.6782,308.573,-0.555363,0.532359,0.365823,0.270982,0.202492,0.513416,0.363437,0.268685,0.212195
