survey,Foundation-g,Foundation-r,Foundation-i,Foundation-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,Foundation-g_AV,Foundation-r_AV,Foundation-i_AV,Foundation-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
Foundation,18.7298,18.4727,18.3494,18.3469,18.732,18.4738,18.3453,18.3579,54.584,-27.5373,0.03584,0.0253704,0.018756,0.0148127,0.03584,0.0253704,0.018756,0.0148127
Foundation,17.6279,17.2717,17.1238,17.0974,17.6161,17.2584,17.114,17.084,54.645,-27.5443,0.034764,0.0246087,0.0181929,0.014368,0.034764,0.0246087,0.0181929,0.014368
Foundation,17.796,17.4475,17.3114,17.2883,17.8055,17.434,17.2956,17.291,54.7397,-27.5941,0.0338412,0.0239555,0.01771,0.0139866,0.0338412,0.0239555,0.01771,0.0139866
Foundation,18.3562,18.0578,17.9421,17.9411,18.4299,18.0619,17.9513,17.9214,54.7307,-27.6891,0.0334256,0.0236613,0.0174925,0.0138148,0.0334256,0.0236613,0.0174925,0.0138148
Foundation,18.5115,18.0191,17.8197,17.764,18.5037,18.0156,17.8113,17.7542,54.7225,-27.6351,0.0327776,0.0232026,0.0171534,0.013547,0.0327776,0.0232026,0.0171534,0.013547
Foundation,18.8338,18.5017,18.3742,18.332,18.8871,18.4932,18.3858,18.3219,54.7628,-27.5436,0.0367468,0.0260123,0.0192306,0.0151875,0.0367468,0.0260123,0.0192306,0.0151875
Foundation,19.0164,18.6141,18.4226,18.3596,18.9915,18.6062,18.4239,18.3638,54.7025,-27.5502,0.0356947,0.0252676,0.01868,0.0147526,0.0356947,0.0252676,0.01868,0.0147526
Foundation,18.4611,18.2512,18.1564,18.1459,18.4683,18.2374,18.1628,18.1532,54.7987,-27.6455,0.0343864,0.0243415,0.0179953,0.0142119,0.0343864,0.0243415,0.0179953,0.0142119
Foundation,18.7908,18.4971,18.3562,18.3229,18.8237,18.4887,18.377,18.3513,54.7779,-27.7338,0.0339121,0.0240057,0.0177471,0.0140159,0.0339121,0.0240057,0.0177471,0.0140159
Foundation,18.8513,18.5586,18.4189,18.3992,18.8405,18.572,18.4166,18.4081,54.7774,-27.7909,0.0332436,0.0235325,0.0173973,0.0137396,0.0332436,0.0235325,0.0173973,0.0137396
Foundation,17.823,17.5926,17.5244,17.5327,17.8234,17.5899,17.5161,17.5319,54.8177,-27.7155,0.034661,0.0245359,0.0181391,0.0143254,0.034661,0.0245359,0.0181391,0.0143254
Foundation,18.423,18.1541,18.0482,18.0439,18.4319,18.1457,18.0594,18.0697,54.7781,-27.6975,0.0341898,0.0242023,0.0178925,0.0141307,0.0341898,0.0242023,0.0178925,0.0141307
Foundation,17.7631,17.4729,17.3832,17.3721,17.7666,17.4647,17.3445,17.3676,54.8811,-27.6767,0.036234,0.0256493,0.0189622,0.0149755,0.036234,0.0256493,0.0189622,0.0149755
Foundation,18.1013,17.3932,17.096,16.9904,18.1049,17.396,17.0954,17.0041,54.887,-27.8231,0.0340325,0.0240909,0.0178101,0.0140656,0.0340325,0.0240909,0.0178101,0.0140656
Foundation,17.6549,17.2424,17.0831,17.0433,17.657,17.2405,17.0869,17.0472,54.4489,-27.5967,0.0335334,0.0237376,0.0175489,0.0138594,0.0335334,0.0237376,0.0175489,0.0138594
Foundation,17.7714,17.1349,16.8716,16.7751,17.7697,17.1512,16.8686,16.7749,54.4493,-27.753,0.0361182,0.0255674,0.0189016,0.0149277,0.0361182,0.0255674,0.0189016,0.0149277
Foundation,17.7701,17.5152,17.4247,17.4217,17.7609,17.5041,17.4141,17.4034,54.4806,-27.7135,0.0351966,0.024915,0.0184193,0.0145468,0.0351966,0.024915,0.0184193,0.0145468
Foundation,18.6618,18.4483,18.3873,18.3786,18.6823,18.4709,18.3854,18.3965,54.561,-27.7445,0.0342294,0.0242303,0.0179132,0.014147,0.0342294,0.0242303,0.0179132,0.014147
Foundation,18.8158,18.3064,18.0659,18.0067,18.8112,18.299,18.06,18.0022,151.558,2.39072,0.1538,0.108872,0.0804876,0.0635655,0.1538,0.108872,0.0804876,0.0635655
Foundation,17.9635,17.5075,17.3026,17.2322,17.9621,17.4979,17.2982,17.2155,151.426,2.2069,0.124548,0.0881651,0.0651794,0.0514758,0.124548,0.0881651,0.0651794,0.0514758
Foundation,17.8979,17.324,17.0846,16.9911,17.8879,17.3169,17.08,16.9812,151.494,2.25138,0.146685,0.103835,0.0767642,0.060625,0.146685,0.103835,0.0767642,0.060625
Foundation,18.3422,17.7952,17.5353,17.443,18.3283,17.7873,17.5286,17.4225,151.495,2.18362,0.135056,0.0956038,0.0706787,0.0558189,0.135056,0.0956038,0.0706787,0.0558189
Foundation,18.0296,17.5798,17.4302,17.3858,18.0335,17.5771,17.4262,17.3925,151.273,2.15652,0.101008,0.0715017,0.0528603,0.0417467,0.101008,0.0715017,0.0528603,0.0417467
Foundation,18.1126,17.6082,17.4251,17.3565,18.1219,17.609,17.4263,17.3524,151.425,2.17097,0.12059,0.0853633,0.063108,0.0498399,0.12059,0.0853633,0.063108,0.0498399
Foundation,18.3786,17.6504,17.3646,17.2256,18.3799,17.652,17.358,17.2236,151.354,2.19407,0.110289,0.0780718,0.0577175,0.0455827,0.110289,0.0780718,0.0577175,0.0455827
Foundation,18.3276,18.0174,17.9039,17.8921,18.3086,18.0167,17.9012,17.8717,151.41,2.50038,0.0988525,0.0699758,0.0517322,0.0408558,0.0988525,0.0699758,0.0517322,0.0408558
Foundation,18.5741,18.1145,17.9291,17.8825,18.5591,18.116,17.9273,17.875,151.451,2.58043,0.0989547,0.0700481,0.0517857,0.040898,0.0989547,0.0700481,0.0517857,0.040898
Foundation,18.5327,17.8267,17.5455,17.4285,18.5174,17.8234,17.5504,17.4402,151.449,2.597,0.0981045,0.0694462,0.0513407,0.0405466,0.0981045,0.0694462,0.0513407,0.0405466
Foundation,17.6729,17.162,16.9357,16.8443,17.6705,17.1653,16.9352,16.8561,151.507,2.40838,0.139063,0.0984399,0.0727754,0.0574748,0.139063,0.0984399,0.0727754,0.0574748
Foundation,17.9989,17.392,17.1807,17.1035,18.0064,17.3909,17.1842,17.1019,151.528,2.48743,0.121043,0.0856842,0.0633453,0.0500273,0.121043,0.0856842,0.0633453,0.0500273
Foundation,17.4502,17.2081,17.107,17.1071,17.4422,17.2024,17.1045,17.1111,151.488,2.63773,0.0985116,0.0697344,0.0515538,0.0407149,0.0985116,0.0697344,0.0515538,0.0407149
Foundation,18.1655,17.7173,17.5464,17.4921,18.1447,17.6903,17.5382,17.5079,151.474,2.45137,0.11795,0.0834948,0.0617267,0.048749,0.11795,0.0834948,0.0617267,0.048749
Foundation,18.3193,18.0435,17.9423,17.9068,18.3215,18.0341,17.9492,17.9169,151.492,2.64769,0.0980283,0.0693923,0.0513009,0.0405152,0.0980283,0.0693923,0.0513009,0.0405152
Foundation,18.9448,18.3315,18.1145,18.0168,18.9491,18.3308,18.1099,18.0099,151.544,2.60347,0.100502,0.0711436,0.0525956,0.0415377,0.100502,0.0711436,0.0525956,0.0415377
Foundation,17.3535,16.9808,16.8596,16.8357,17.3465,16.9766,16.8541,16.8353,151.185,2.38794,0.0854474,0.0604866,0.044717,0.0353155,0.0854474,0.0604866,0.044717,0.0353155
Foundation,17.3698,16.993,16.8584,16.836,17.3656,16.9894,16.8594,16.8292,151.354,2.33241,0.112445,0.0795979,0.0588457,0.0464737,0.112445,0.0795979,0.0588457,0.0464737
Foundation,17.3527,17.0765,16.9788,16.97,17.3537,17.0821,16.9752,16.969,151.223,2.35246,0.0894179,0.0632972,0.0467948,0.0369565,0.0894179,0.0632972,0.0467948,0.0369565
Foundation,17.9598,17.6161,17.4691,17.45,17.958,17.6183,17.4684,17.4467,151.267,2.34693,0.0949607,0.0672208,0.0496955,0.0392473,0.0949607,0.0672208,0.0496955,0.0392473
Foundation,17.9705,17.6585,17.546,17.5355,17.9627,17.6626,17.5501,17.5321,151.327,2.46594,0.0974781,0.0690029,0.051013,0.0402878,0.0974781,0.0690029,0.051013,0.0402878
Foundation,18.2799,17.8697,17.6855,17.641,18.2909,17.8664,17.6876,17.6421,151.3,2.33731,0.100857,0.0713946,0.0527812,0.0416842,0.100857,0.0713946,0.0527812,0.0416842
Foundation,18.2764,17.9086,17.7641,17.7423,18.2866,17.9106,17.7651,17.7454,151.291,2.48791,0.0965674,0.0683582,0.0505364,0.0399114,0.0965674,0.0683582,0.0505364,0.0399114
Foundation,18.6947,18.2683,18.0988,18.0581,18.6933,18.2747,18.101,18.0583,151.284,2.40968,0.0950294,0.0672695,0.0497315,0.0392757,0.0950294,0.0672695,0.0497315,0.0392757
Foundation,18.7615,18.2734,18.0863,18.0405,18.7617,18.2884,18.0818,18.0409,151.384,2.27765,0.121472,0.085988,0.0635699,0.0502046,0.121472,0.085988,0.0635699,0.0502046
Foundation,17.8321,17.3172,17.1451,17.0871,17.8243,17.3209,17.1419,17.0859,151.419,2.3362,0.129037,0.0913424,0.0675283,0.0533309,0.129037,0.0913424,0.0675283,0.0533309
Foundation,18.066,17.7577,17.6224,17.5948,18.0193,17.75,17.6165,17.5783,151.407,2.45944,0.102795,0.0727664,0.0537953,0.0424851,0.102795,0.0727664,0.0537953,0.0424851
Foundation,17.9974,17.2368,16.942,16.8416,17.9891,17.236,16.936,16.8319,151.405,2.29957,0.126879,0.0898152,0.0663993,0.0524392,0.126879,0.0898152,0.0663993,0.0524392
Foundation,17.7078,17.1646,16.954,16.8924,17.7194,17.172,16.9632,16.8907,151.437,2.45165,0.10912,0.0772442,0.0571057,0.0450995,0.10912,0.0772442,0.0571057,0.0450995
