survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3K,16.1749,15.6156,15.4492,15.296,15.8308,15.4409,15.311,15.2814,105.466,14.1313,0.285998,0.219754,0.179716,0.130243,0.255604,0.180937,0.133765,0.105641
CFA3K,16.2675,15.8266,15.6875,15.5503,16.0134,15.735,15.5781,15.6243,105.456,14.187,0.274689,0.211064,0.172609,0.125093,0.245497,0.173782,0.128475,0.101464
CFA3K,17.1659,16.6466,16.4665,16.2923,16.8358,16.4435,16.3161,16.2822,105.444,14.2046,0.271114,0.208317,0.170363,0.123465,0.242302,0.171521,0.126803,0.100144
CFA3K,17.1472,16.5883,16.4369,16.275,16.777,16.4049,16.2725,16.2475,105.421,14.0711,0.291592,0.224052,0.183231,0.13279,0.260604,0.184476,0.136381,0.107708
CFA3K,17.0292,16.5283,16.3722,16.237,16.7382,16.3881,16.2714,16.2669,105.403,14.1513,0.270131,0.207562,0.169745,0.123017,0.241424,0.170899,0.126344,0.0997806
CFA3K,16.5322,16.0006,15.8349,15.6933,16.167,15.8031,15.6807,15.659,105.403,14.0435,0.294994,0.226666,0.185369,0.13434,0.263645,0.186629,0.137972,0.108964
CFA3K,16.9689,16.448,16.3283,16.2087,16.6014,16.283,16.1919,16.1852,105.387,14.0468,0.285249,0.219178,0.179245,0.129902,0.254935,0.180463,0.133414,0.105365
CFA3K,16.6375,15.8636,15.5919,15.3343,16.1358,15.5589,15.3196,15.2263,105.381,14.0503,0.281606,0.216379,0.176956,0.128243,0.251679,0.178158,0.13171,0.104019
CFA3K,17.1783,16.585,16.4003,16.2434,16.7995,16.4041,16.2682,16.2424,105.367,14.1822,0.268493,0.206303,0.168716,0.122271,0.239959,0.169862,0.125577,0.0991753
CFA3K,17.5456,17.0493,16.9182,16.7903,17.1933,16.8825,16.7826,16.7789,105.355,14.1522,0.266708,0.204932,0.167594,0.121458,0.238364,0.168733,0.124743,0.0985161
CFA3K,16.9339,16.2863,16.0792,15.9,16.4841,16.0467,15.9021,15.8583,105.35,14.1207,0.263709,0.202627,0.16571,0.120092,0.235684,0.166836,0.12334,0.0974083
CFA3K,16.3536,15.5533,15.2916,15.062,15.8967,15.3088,15.0941,15.019,105.339,14.2102,0.2738,0.210381,0.172051,0.124688,0.244703,0.17322,0.12806,0.101136
CFA3K,16.2225,15.6576,15.4952,15.3623,15.8037,15.4557,15.3509,15.3343,105.325,14.0592,0.267856,0.205814,0.168316,0.121981,0.239391,0.16946,0.12528,0.0989402
CFA3K,16.3305,15.8286,15.7002,15.583,15.9806,15.6785,15.5825,15.5724,105.308,14.1418,0.272486,0.209371,0.171225,0.124089,0.243528,0.172389,0.127445,0.10065
